"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1000005","1000006","АИ-80(АИ-80)","1","Бензин АИ-80","174543","НП","1","л/1000","TYPE_FUEL",NULL,"SET_BASE","1","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543","НП"
"1000008","1000009","GD95(АИ-95)","10","Бензин G-Drive 95","1000010302","АИ 100","1055","л/1000","TYPE_FUEL","41317964","SET_BASE","1055","SET_NOTDISABLE","В работе","Нет","5700",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1000010302","АИ 100"
"1000011","1000012","GDT(ДТ)","11","ДТ G-Drive Diesel летнее","174543","НП","11","л/1000","TYPE_FUEL",NULL,"SET_BASE","11","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543","НП"
"1000047","1000048","for tests(dont use)","1122332211","DO NOT USE","174545","АИ-95","1122332211","кг/1000","TYPE_FUEL",NULL,"SET_BASE","1122332211","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",1,0,"174543.174545","НП/АИ-95"
"1000047","1000050","for tests(dont use)","1122332211","DO NOT USE","174545","АИ-95","3123123123","шт/1","TYPE_FUEL",NULL,"SET_NOTBASE","3123123123","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",1,0,"174543.174545","НП/АИ-95"
"1000052","1000053","Дт+(ДТ-Л)","12","Дт+","174550","ПРОЧИЕ ГСМ","12","л/1000","TYPE_FUEL",NULL,"SET_BASE","12","SET_NOTDISABLE","В работе","Нет","4500",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000095","1000096","GD98(АИ-98)","13","Бензин G-Drive 98","174550","ПРОЧИЕ ГСМ","13","л/1000","TYPE_FUEL","245","SET_BASE","13","SET_NOTDISABLE","В работе","Нет","5200",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000099","1000100","Резерв(Резерв)","14","Резерв","174550","ПРОЧИЕ ГСМ","14","л/1000","TYPE_FUEL",NULL,"SET_BASE","14","SET_DISABLE","Блокирован","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000102","1000103","GD92(АИ-92)","15","Бензин G-Drive 92","174550","ПРОЧИЕ ГСМ","15","л/1000","TYPE_FUEL",NULL,"SET_BASE","15","SET_DISABLE","Блокирован","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000129","1000130","ДТ(ДТ-Е)","16","ДТ межсезонное","174546","ДТ","16","л/1000","TYPE_FUEL",NULL,"SET_BASE","16","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
